-----------------------------------------
| concept            | property         |
=========================================
| "Tm"               | "period"         |
| "Tm"               | "type"           |
| "Tm"               | "block"          |
| "Tm"               | "standardState"  |
| "Tm"               | "classification" |
| "Tm"               | "group"          |
| "Fm"               | "period"         |
| "Fm"               | "type"           |
| "Fm"               | "block"          |
| "Fm"               | "standardState"  |
| "Fm"               | "classification" |
| "Fm"               | "group"          |
| "Cr"               | "period"         |
| "Cr"               | "type"           |
| "Cr"               | "block"          |
| "Cr"               | "standardState"  |
| "Cr"               | "classification" |
| "Cr"               | "group"          |
| "group_16"         | "element"        |
| "group_16"         | "type"           |
| "La"               | "period"         |
| "La"               | "type"           |
| "La"               | "block"          |
| "La"               | "standardState"  |
| "La"               | "classification" |
| "La"               | "group"          |
| "Lr"               | "period"         |
| "Lr"               | "type"           |
| "Lr"               | "block"          |
| "Lr"               | "standardState"  |
| "Lr"               | "classification" |
| "Lr"               | "group"          |
| "Sg"               | "period"         |
| "Sg"               | "type"           |
| "Sg"               | "block"          |
| "Sg"               | "standardState"  |
| "Sg"               | "classification" |
| "Sg"               | "group"          |
| "Fe"               | "period"         |
| "Fe"               | "type"           |
| "Fe"               | "block"          |
| "Fe"               | "standardState"  |
| "Fe"               | "classification" |
| "Fe"               | "group"          |
| "Cd"               | "period"         |
| "Cd"               | "type"           |
| "Cd"               | "block"          |
| "Cd"               | "standardState"  |
| "Cd"               | "classification" |
| "Cd"               | "group"          |
| "Uup"              | "period"         |
| "Uup"              | "type"           |
| "Uup"              | "block"          |
| "Uup"              | "standardState"  |
| "Uup"              | "group"          |
| "U"                | "period"         |
| "U"                | "type"           |
| "U"                | "block"          |
| "U"                | "standardState"  |
| "U"                | "classification" |
| "U"                | "group"          |
| "Tb"               | "period"         |
| "Tb"               | "type"           |
| "Tb"               | "block"          |
| "Tb"               | "standardState"  |
| "Tb"               | "classification" |
| "Tb"               | "group"          |
| "Li"               | "period"         |
| "Li"               | "type"           |
| "Li"               | "block"          |
| "Li"               | "standardState"  |
| "Li"               | "classification" |
| "Li"               | "group"          |
| "group_4"          | "element"        |
| "group_4"          | "type"           |
| "Semi-metallic"    | "type"           |
| "element"          | "type"           |
| "Period"           | "type"           |
| "H"                | "period"         |
| "H"                | "type"           |
| "H"                | "block"          |
| "H"                | "standardState"  |
| "H"                | "classification" |
| "H"                | "group"          |
| "Pt"               | "period"         |
| "Pt"               | "type"           |
| "Pt"               | "block"          |
| "Pt"               | "standardState"  |
| "Pt"               | "classification" |
| "Pt"               | "group"          |
| "Dy"               | "period"         |
| "Dy"               | "type"           |
| "Dy"               | "block"          |
| "Dy"               | "standardState"  |
| "Dy"               | "classification" |
| "Dy"               | "group"          |
| "group_6"          | "element"        |
| "group_6"          | "type"           |
| ""                 | "onProperty"     |
| ""                 | "type"           |
| ""                 | "allValuesFrom"  |
| "symbol"           | "type"           |
| "group_12"         | "element"        |
| "group_12"         | "type"           |
| ""                 | "rest"           |
| ""                 | "first"          |
| "Ca"               | "period"         |
| "Ca"               | "type"           |
| "Ca"               | "block"          |
| "Ca"               | "standardState"  |
| "Ca"               | "classification" |
| "Ca"               | "group"          |
| "No"               | "period"         |
| "No"               | "type"           |
| "No"               | "block"          |
| "No"               | "standardState"  |
| "No"               | "classification" |
| "No"               | "group"          |
| "StandardState"    | "type"           |
| "solid"            | "type"           |
| "period_4"         | "element"        |
| "period_4"         | "type"           |
| "In"               | "period"         |
| "In"               | "type"           |
| "In"               | "block"          |
